Time,Category,Item,Quantity,Cost,email_id,name,no_of_people,status
21-07-2024 22:11,Starters,Nachos,7,4,,,1,booked
21-07-2024 22:18,Starters,Nachos,2,4,abc@gmail.com,shravan,2,booked
others,Self-care,2,1,1,62,,2,Checkedin
29-07-2024 19:44,others,Gym,1,5,abc@gmail.com,shravan,2,booked
29-07-2024 19:57,rooms,family,1,60,abc@gmail.com,shravan,2,booked
29-07-2024 19:57,facilities,Gym,1,5,abc@gmail.com,shravan,2,booked
29-07-2024 19:57,facilities,Laundry,2,7,abc@gmail.com,shravan,2,booked
30-07-2024 20:05,others,deluxe,1,55,abc@gmail.com,shravan,2,booked
30-07-2024 20:05,others,suite,3,50,abc@gmail.com,shravan,2,booked
30-07-2024 20:05,others,deluxe,1,55,abc@gmail.com,shravan,2,booked
30-07-2024 20:05,others,deluxe,1,55,abc@gmail.com,shravan,2,booked
30-07-2024 20:05,others,Non-AC,1,45,abc@gmail.com,shravan,2,booked
30-07-2024 20:05,others,Non-AC,1,45,abc@gmail.com,shravan,2,booked
30-07-2024 20:05,others,Self-care,1,2,abc@gmail.com,shravan,2,booked
30-07-2024 20:05,others,deluxe,2,55,abc@gmail.com,shravan,2,booked
30-07-2024 20:05,others,Self-care,1,2,abc@gmail.com,shravan,2,booked
30-07-2024 20:06,others,deluxe,1,55,abc@gmail.com,shravan,2,booked
30-07-2024 20:06,others,Coffee,1,3,abc@gmail.com,shravan,2,booked
30-07-2024 20:11,others,deluxe,1,55,abc@gmail.com,shravan,2,booked
30-07-2024 20:11,others,Self-care,1,2,abc@gmail.com,shravan,2,booked
30-07-2024 20:27,rooms,deluxe,1,55,abc@gmail.com,shravan,2,booked
30-07-2024 20:27,beverages,Coffee,1,3,abc@gmail.com,shravan,2,booked
